Instance,N,M,Total,Algorithm,EF1,EFX,EF,PROP1
spliddit\4_4_40306.instance,4,4,3,existence,3,2,1,3
spliddit\4_4_40306.instance,4,4,3,remove all the agents,1,1,1,3
spliddit\4_4_40306.instance,4,4,3,remove the best agent,3,1,1,3
spliddit\4_4_40307.instance,4,4,3,existence,3,2,1,3
spliddit\4_4_40307.instance,4,4,3,remove all the agents,1,1,1,3
spliddit\4_4_40307.instance,4,4,3,remove the best agent,3,1,1,3
spliddit\4_4_41099.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_41099.instance,4,4,3,remove all the agents,3,3,1,3
spliddit\4_4_41099.instance,4,4,3,remove the best agent,3,3,1,3
spliddit\4_4_41448.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_41448.instance,4,4,3,remove all the agents,3,3,3,3
spliddit\4_4_41448.instance,4,4,3,remove the best agent,3,3,3,3
spliddit\4_4_47632.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_47632.instance,4,4,3,remove all the agents,3,3,3,3
spliddit\4_4_47632.instance,4,4,3,remove the best agent,3,3,3,3
spliddit\4_4_51357.instance,4,4,3,existence,3,3,2,3
spliddit\4_4_51357.instance,4,4,3,remove all the agents,3,3,2,3
spliddit\4_4_51357.instance,4,4,3,remove the best agent,3,3,2,3
spliddit\4_4_53343.instance,4,4,3,existence,3,1,0,3
spliddit\4_4_53343.instance,4,4,3,remove all the agents,2,1,0,3
spliddit\4_4_53343.instance,4,4,3,remove the best agent,3,1,0,3
spliddit\4_4_54082.instance,4,4,3,existence,3,3,2,3
spliddit\4_4_54082.instance,4,4,3,remove all the agents,3,3,2,3
spliddit\4_4_54082.instance,4,4,3,remove the best agent,3,3,1,3
spliddit\4_4_55939.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_55939.instance,4,4,3,remove all the agents,0,0,0,2
spliddit\4_4_55939.instance,4,4,3,remove the best agent,3,2,1,3
spliddit\4_4_60663.instance,4,4,3,existence,3,3,2,3
spliddit\4_4_60663.instance,4,4,3,remove all the agents,2,2,2,3
